,BIA,BIA Latitude,BIA Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Wychwood (94),43.6769192679,-79.425514947,4b86e89df964a52051a531e3,Wychwood Barns Farmers' Market,43.68001040153905,-79.42384857341463,Farmers Market
1,Wychwood (94),43.6769192679,-79.425514947,4afc6ed3f964a520a82222e3,Wychwood Barns,43.68002809008845,-79.42380960285216,Event Space
2,Wychwood (94),43.6769192679,-79.425514947,52418b0b7e48222eea81d2d2,Pukka Restaurant,43.68105502412986,-79.4291869567722,Indian Restaurant
3,Wychwood (94),43.6769192679,-79.425514947,4aedbe8df964a52080ce21e3,Hillcrest Park,43.67601214114849,-79.42478680222756,Park
4,Wychwood (94),43.6769192679,-79.425514947,4aeb7abbf964a52080c221e3,Ferro Bar Cafe,43.68107983140924,-79.4285699237273,Italian Restaurant
5,Wychwood (94),43.6769192679,-79.425514947,4ada3289f964a520d71f21e3,The Stockyards,43.681570353914765,-79.4262096115835,BBQ Joint
6,Wychwood (94),43.6769192679,-79.425514947,4b6f0c25f964a52060d92ce3,CocoaLatte,43.68176818183194,-79.42515763384645,Café
7,Wychwood (94),43.6769192679,-79.425514947,53553241498ec641e3a6b798,Baker and Scone,43.68161443045213,-79.42607528989137,Café
8,Wychwood (94),43.6769192679,-79.425514947,4bf1c91578cec92810d2ba86,Mi Tierra,43.680618144484,-79.4311747955151,South American Restaurant
9,Wychwood (94),43.6769192679,-79.425514947,4b5b534cf964a520b4f428e3,Churrasco of St. Clair,43.68168056638893,-79.42545291671884,Portuguese Restaurant
10,Wychwood (94),43.6769192679,-79.425514947,4b003cf6f964a520d73b22e3,Vinny’s Panini,43.67067884412717,-79.42614819830024,Italian Restaurant
11,Wychwood (94),43.6769192679,-79.425514947,5748bdbf498e3b6d10222371,Bar Ape,43.68157039469145,-79.42779661718437,Ice Cream Shop
12,Wychwood (94),43.6769192679,-79.425514947,4b0df2fdf964a520095323e3,The Gem,43.674585355214134,-79.43194708186414,Bar
13,Wychwood (94),43.6769192679,-79.425514947,4ad4c05cf964a52018f620e3,Dutch Dreams,43.68218165964713,-79.41889275697524,Ice Cream Shop
14,Wychwood (94),43.6769192679,-79.425514947,59a1fae23af98819c17d2c8a,Craque De Creme,43.679846,-79.416989,Dessert Shop
15,Wychwood (94),43.6769192679,-79.425514947,513b869de4b02424662a1f42,Asada Mexican Grill,43.68063435437249,-79.43071960521455,Mexican Restaurant
16,Wychwood (94),43.6769192679,-79.425514947,4ae09642f964a520a68021e3,Savera Indian Cuisine,43.68057841847422,-79.4308324116619,Indian Restaurant
17,Wychwood (94),43.6769192679,-79.425514947,4d12ae6a7a8ba143934ecb69,Dave's… On St. Clair,43.68144878229615,-79.42716013822982,Bar
18,Wychwood (94),43.6769192679,-79.425514947,4ce588455fce5481cd1e5caa,Cho Cho Cho,43.680139022918006,-79.43289460634793,Chinese Restaurant
19,Wychwood (94),43.6769192679,-79.425514947,55a192fb498eba3d2ffb5cc1,Krave Coffee,43.68074046687234,-79.42941660923084,Coffee Shop
20,Wychwood (94),43.6769192679,-79.425514947,4ae45ae0f964a5201d9a21e3,Pain Perdu,43.68140733172792,-79.42733237382963,American Restaurant
21,Wychwood (94),43.6769192679,-79.425514947,4adb4d20f964a520b12521e3,Universal Grill,43.670549820711926,-79.42654054306477,Diner
22,Wychwood (94),43.6769192679,-79.425514947,51e4b251498e1df3a736a016,Aviv,43.6807858,-79.4291666,Jewish Restaurant
23,Wychwood (94),43.6769192679,-79.425514947,4b0c689af964a520a63c23e3,The Rushton,43.68138642185842,-79.42780059787597,Restaurant
24,Wychwood (94),43.6769192679,-79.425514947,4dc9d2add4c07b350108956a,Starbucks,43.67153,-79.4214,Coffee Shop
25,Wychwood (94),43.6769192679,-79.425514947,53dec142498e2c0cf1b311b1,Sea Witch Fish and Chips,43.68211157702951,-79.42397462795375,Fish & Chips Shop
26,Wychwood (94),43.6769192679,-79.425514947,4b815c39f964a52072a130e3,Leah's,43.682052866903014,-79.42354681657915,Bakery
27,Wychwood (94),43.6769192679,-79.425514947,5047c42ee4b0451520815721,Moong Sushi,43.68254492330092,-79.42194999656803,Sushi Restaurant
28,Wychwood (94),43.6769192679,-79.425514947,581cc52b8d169071e52cde38,NODO,43.681156,-79.429857,Italian Restaurant
29,Wychwood (94),43.6769192679,-79.425514947,51d62df3498e4812ead1ca3a,South St. Burger,43.681229019712596,-79.42792927601594,Burger Joint
30,Wychwood (94),43.6769192679,-79.425514947,4b2ad6e0f964a5209cb024e3,Vannis Bar & Grill,43.68182171159587,-79.4253678427442,Italian Restaurant
31,Wychwood (94),43.6769192679,-79.425514947,4bcba24ecc8cd13a47dabfcf,Taste of Thai House,43.68273510337587,-79.41966075174597,Thai Restaurant
32,Wychwood (94),43.6769192679,-79.425514947,4c4baeec6e209521135714ec,Albert's Real Jamaican Foods,43.683060971578726,-79.4206932229474,Caribbean Restaurant
33,Wychwood (94),43.6769192679,-79.425514947,4fd28998e4b03f13ec1d37f9,The Piper's Pub,43.68103119111243,-79.42934478370216,Restaurant
34,Wychwood (94),43.6769192679,-79.425514947,4aee0faef964a520b1d121e3,Loblaws,43.671657,-79.421364,Grocery Store
35,Wychwood (94),43.6769192679,-79.425514947,4b76e890f964a52065692ee3,Stubbe Chocolates,43.67156577026589,-79.42128899001831,Candy Store
36,Wychwood (94),43.6769192679,-79.425514947,4bd9d220d2cbc928bc07d2ad,TD Canada Trust,43.680525103907264,-79.43233243656329,Bank
37,Wychwood (94),43.6769192679,-79.425514947,4b5b9cd0f964a520f10a29e3,Mezzetta,43.681652028150964,-79.425435746772,Mediterranean Restaurant
38,Wychwood (94),43.6769192679,-79.425514947,4af87f52f964a520d30d22e3,El Rincon Mexicano,43.68193784455996,-79.42452611263825,Mexican Restaurant
39,Wychwood (94),43.6769192679,-79.425514947,4b80810ff964a520367830e3,Nama Sushi,43.681255,-79.42816,Sushi Restaurant
40,Wychwood (94),43.6769192679,-79.425514947,4b51efd9f964a520405c27e3,LCBO,43.68020988451884,-79.4338334455083,Liquor Store
